2025-09-12 17:31:06.999 | INFO     | config.logging:setup_logging:74 | Logging configuration initialized
2025-09-12 17:31:07.000 | INFO     | __main__:main:60 | ============================================================
2025-09-12 17:31:07.000 | INFO     | __main__:main:61 | 🧠 NEURAL OPTIONS ORACLE++ STARTING
2025-09-12 17:31:07.000 | INFO     | __main__:main:62 | ============================================================
2025-09-12 17:31:07.000 | ERROR    | __main__:check_environment:44 | Missing required environment variables: ['SUPABASE_URL', 'SUPABASE_SERVICE_KEY', 'OPENAI_API_KEY']
2025-09-12 17:31:07.000 | ERROR    | __main__:check_environment:45 | Please copy .env.example to .env and configure your API keys
2025-09-12 17:31:07.001 | ERROR    | __main__:main:66 | Environment check failed. Exiting.
2025-09-12 18:34:02.301 | INFO     | config.logging:setup_logging:74 | Logging configuration initialized
2025-09-12 18:34:02.302 | INFO     | __main__:main:110 | ============================================================
2025-09-12 18:34:02.302 | INFO     | __main__:main:111 | 🧠 NEURAL OPTIONS ORACLE++ STARTING
2025-09-12 18:34:02.302 | INFO     | __main__:main:112 | 📊 REAL DATA SOURCES ONLY - NO MOCK DATA
2025-09-12 18:34:02.303 | INFO     | __main__:main:113 | ============================================================
2025-09-12 18:34:02.303 | ERROR    | __main__:check_environment:60 | Missing required environment variables: ['SUPABASE_URL', 'SUPABASE_SERVICE_KEY']
2025-09-12 18:34:02.303 | ERROR    | __main__:check_environment:61 | Please copy .env.example to .env and configure your API keys
2025-09-12 18:34:02.303 | ERROR    | __main__:main:117 | Environment check failed. Exiting.
2025-09-12 18:34:38.803 | INFO     | config.logging:setup_logging:74 | Logging configuration initialized
2025-09-12 18:34:38.804 | INFO     | __main__:main:110 | ============================================================
2025-09-12 18:34:38.804 | INFO     | __main__:main:111 | 🧠 NEURAL OPTIONS ORACLE++ STARTING
2025-09-12 18:34:38.804 | INFO     | __main__:main:112 | 📊 REAL DATA SOURCES ONLY - NO MOCK DATA
2025-09-12 18:34:38.804 | INFO     | __main__:main:113 | ============================================================
2025-09-12 18:34:38.804 | ERROR    | __main__:check_environment:60 | Missing required environment variables: ['SUPABASE_URL', 'SUPABASE_SERVICE_KEY']
2025-09-12 18:34:38.805 | ERROR    | __main__:check_environment:61 | Please copy .env.example to .env and configure your API keys
2025-09-12 18:34:38.805 | ERROR    | __main__:main:117 | Environment check failed. Exiting.
2025-09-12 18:35:22.238 | INFO     | config.logging:setup_logging:74 | Logging configuration initialized
2025-09-12 18:35:22.239 | INFO     | __main__:main:116 | ============================================================
2025-09-12 18:35:22.239 | INFO     | __main__:main:117 | 🧠 NEURAL OPTIONS ORACLE++ STARTING
2025-09-12 18:35:22.239 | INFO     | __main__:main:118 | 📊 REAL DATA SOURCES ONLY - NO MOCK DATA
2025-09-12 18:35:22.240 | INFO     | __main__:main:119 | ============================================================
2025-09-12 18:35:22.240 | INFO     | __main__:main:126 | Environment: development
2025-09-12 18:35:22.240 | INFO     | __main__:main:127 | Debug Mode: True
2025-09-12 18:35:22.240 | INFO     | __main__:main:128 | Host: 0.0.0.0
2025-09-12 18:35:22.240 | INFO     | __main__:main:129 | Port: 8080
2025-09-12 18:35:22.241 | INFO     | __main__:main:130 | Log Level: INFO
2025-09-12 18:35:22.242 | INFO     | __main__:initialize_real_data_sources:80 | Initializing Real Data Sources Orchestrator...
2025-09-12 18:35:22.243 | INFO     | __main__:initialize_real_data_sources:92 | ✅ Real Data Sources Orchestrator initialized
2025-09-12 18:35:22.243 | INFO     | __main__:initialize_real_data_sources:93 | 📊 Data Sources Available:
2025-09-12 18:35:22.243 | INFO     | __main__:initialize_real_data_sources:94 |   - OptionsProfitCalculator.com API (Options Data)
2025-09-12 18:35:22.243 | INFO     | __main__:initialize_real_data_sources:95 |   - Web Search APIs (News & Sentiment)
2025-09-12 18:35:22.244 | INFO     | __main__:main:143 | Starting FastAPI server with real data sources...
2025-09-12 18:35:22.247 | INFO     | __main__:main:162 | Neural Options Oracle++ shutting down
2025-09-12 18:35:42.239 | INFO     | config.logging:setup_logging:74 | Logging configuration initialized
2025-09-12 18:35:42.240 | INFO     | __main__:main:116 | ============================================================
2025-09-12 18:35:42.240 | INFO     | __main__:main:117 | 🧠 NEURAL OPTIONS ORACLE++ STARTING
2025-09-12 18:35:42.240 | INFO     | __main__:main:118 | 📊 REAL DATA SOURCES ONLY - NO MOCK DATA
2025-09-12 18:35:42.240 | INFO     | __main__:main:119 | ============================================================
2025-09-12 18:35:42.240 | INFO     | __main__:main:126 | Environment: development
2025-09-12 18:35:42.240 | INFO     | __main__:main:127 | Debug Mode: True
2025-09-12 18:35:42.240 | INFO     | __main__:main:128 | Host: 0.0.0.0
2025-09-12 18:35:42.240 | INFO     | __main__:main:129 | Port: 8080
2025-09-12 18:35:42.240 | INFO     | __main__:main:130 | Log Level: INFO
2025-09-12 18:35:42.241 | INFO     | __main__:initialize_real_data_sources:80 | Initializing Real Data Sources Orchestrator...
2025-09-12 18:35:42.241 | INFO     | __main__:initialize_real_data_sources:92 | ✅ Real Data Sources Orchestrator initialized
2025-09-12 18:35:42.241 | INFO     | __main__:initialize_real_data_sources:93 | 📊 Data Sources Available:
2025-09-12 18:35:42.241 | INFO     | __main__:initialize_real_data_sources:94 |   - OptionsProfitCalculator.com API (Options Data)
2025-09-12 18:35:42.241 | INFO     | __main__:initialize_real_data_sources:95 |   - Web Search APIs (News & Sentiment)
2025-09-12 18:35:42.242 | INFO     | __main__:main:143 | Starting FastAPI server with real data sources...
2025-09-12 18:35:42.243 | INFO     | __main__:main:162 | Neural Options Oracle++ shutting down
2025-09-12 18:35:55.344 | INFO     | config.logging:setup_logging:74 | Logging configuration initialized
2025-09-12 18:35:55.344 | INFO     | __main__:main:116 | ============================================================
2025-09-12 18:35:55.344 | INFO     | __main__:main:117 | 🧠 NEURAL OPTIONS ORACLE++ STARTING
2025-09-12 18:35:55.345 | INFO     | __main__:main:118 | 📊 REAL DATA SOURCES ONLY - NO MOCK DATA
2025-09-12 18:35:55.345 | INFO     | __main__:main:119 | ============================================================
2025-09-12 18:35:55.345 | INFO     | __main__:main:126 | Environment: development
2025-09-12 18:35:55.345 | INFO     | __main__:main:127 | Debug Mode: True
2025-09-12 18:35:55.345 | INFO     | __main__:main:128 | Host: 0.0.0.0
2025-09-12 18:35:55.345 | INFO     | __main__:main:129 | Port: 8080
2025-09-12 18:35:55.345 | INFO     | __main__:main:130 | Log Level: INFO
2025-09-12 18:35:55.346 | INFO     | __main__:initialize_real_data_sources:80 | Initializing Real Data Sources Orchestrator...
2025-09-12 18:35:55.347 | INFO     | __main__:initialize_real_data_sources:92 | ✅ Real Data Sources Orchestrator initialized
2025-09-12 18:35:55.347 | INFO     | __main__:initialize_real_data_sources:93 | 📊 Data Sources Available:
2025-09-12 18:35:55.347 | INFO     | __main__:initialize_real_data_sources:94 |   - OptionsProfitCalculator.com API (Options Data)
2025-09-12 18:35:55.347 | INFO     | __main__:initialize_real_data_sources:95 |   - Web Search APIs (News & Sentiment)
2025-09-12 18:35:55.348 | INFO     | __main__:main:143 | Starting FastAPI server with real data sources...
2025-09-12 18:35:55.349 | INFO     | __main__:main:162 | Neural Options Oracle++ shutting down
2025-09-12 18:36:17.723 | INFO     | config.logging:setup_logging:74 | Logging configuration initialized
2025-09-12 18:36:17.723 | INFO     | __main__:main:116 | ============================================================
2025-09-12 18:36:17.723 | INFO     | __main__:main:117 | 🧠 NEURAL OPTIONS ORACLE++ STARTING
2025-09-12 18:36:17.723 | INFO     | __main__:main:118 | 📊 REAL DATA SOURCES ONLY - NO MOCK DATA
2025-09-12 18:36:17.723 | INFO     | __main__:main:119 | ============================================================
2025-09-12 18:36:17.724 | INFO     | __main__:main:126 | Environment: development
2025-09-12 18:36:17.724 | INFO     | __main__:main:127 | Debug Mode: True
2025-09-12 18:36:17.724 | INFO     | __main__:main:128 | Host: 0.0.0.0
2025-09-12 18:36:17.724 | INFO     | __main__:main:129 | Port: 8080
2025-09-12 18:36:17.724 | INFO     | __main__:main:130 | Log Level: INFO
2025-09-12 18:36:17.724 | INFO     | __main__:initialize_real_data_sources:80 | Initializing Real Data Sources Orchestrator...
2025-09-12 18:36:17.724 | INFO     | __main__:initialize_real_data_sources:92 | ✅ Real Data Sources Orchestrator initialized
2025-09-12 18:36:17.724 | INFO     | __main__:initialize_real_data_sources:93 | 📊 Data Sources Available:
2025-09-12 18:36:17.724 | INFO     | __main__:initialize_real_data_sources:94 |   - OptionsProfitCalculator.com API (Options Data)
2025-09-12 18:36:17.724 | INFO     | __main__:initialize_real_data_sources:95 |   - Web Search APIs (News & Sentiment)
2025-09-12 18:36:17.725 | INFO     | __main__:main:143 | Starting FastAPI server with real data sources...
2025-09-12 18:36:21.555 | INFO     | config.logging:setup_logging:74 | Logging configuration initialized
2025-09-12 18:36:22.336 | INFO     | src.api.main:lifespan:38 | Database connection established
2025-09-12 18:36:22.336 | INFO     | src.api.main:lifespan:39 | Neural Options Oracle++ API Server started successfully
2025-09-12 18:36:24.374 | INFO     | config.logging:log_api_access:130 | GET /health 200 0.102s UA: curl/8.7.1 IP: 127.0.0.1
2025-09-12 18:36:45.742 | INFO     | config.logging:log_api_access:130 | GET /health 200 0.178s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.745 | INFO     | config.logging:log_api_access:130 | GET /docs 200 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.751 | INFO     | config.logging:log_api_access:130 | GET /redoc 200 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.810 | INFO     | config.logging:log_api_access:130 | GET /openapi.json 200 0.055s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.815 | INFO     | config.logging:log_api_access:130 | GET /api/v1/options/chain 404 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.819 | INFO     | config.logging:log_api_access:130 | POST /api/v1/options/analysis 404 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.821 | INFO     | config.logging:log_api_access:130 | GET /api/v1/options/flow 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.823 | INFO     | config.logging:log_api_access:130 | GET /api/v1/options/greeks 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.825 | INFO     | config.logging:log_api_access:130 | POST /api/v1/analysis/real-time 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.827 | INFO     | config.logging:log_api_access:130 | POST /api/v1/analysis/technical 404 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.831 | INFO     | config.logging:log_api_access:130 | POST /api/v1/analysis/sentiment 404 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.835 | INFO     | config.logging:log_api_access:130 | POST /api/v1/analysis/market 404 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.837 | INFO     | config.logging:log_api_access:130 | GET /api/v1/trading/signals 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.839 | INFO     | config.logging:log_api_access:130 | POST /api/v1/trading/recommendations 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.841 | INFO     | config.logging:log_api_access:130 | GET /api/v1/trading/portfolio 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.843 | INFO     | config.logging:log_api_access:130 | GET /api/v1/trading/risk 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.845 | INFO     | config.logging:log_api_access:130 | GET /api/v1/education/lessons 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.851 | INFO     | src.api.dependencies:get_current_session:31 | No session token provided, creating temporary session
2025-09-12 18:36:45.853 | INFO     | config.logging:log_api_access:130 | POST /api/v1/education/quiz 200 0.005s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:45.855 | INFO     | src.api.dependencies:get_current_session:31 | No session token provided, creating temporary session
2025-09-12 18:36:45.857 | INFO     | config.logging:log_api_access:130 | POST /api/v1/education/explain 422 0.002s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:52.920 | INFO     | config.logging:log_api_access:130 | GET /api/v1/options/chain 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:52.922 | INFO     | config.logging:log_api_access:130 | GET /api/v1/options/chain 404 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:52.924 | INFO     | config.logging:log_api_access:130 | GET /api/v1/options/chain 404 0.000s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
2025-09-12 18:36:52.926 | INFO     | config.logging:log_api_access:130 | GET /api/v1/options/chain 404 0.001s UA: Python/3.13 aiohttp/3.12.15 IP: 127.0.0.1
